icd10,icd10label,section_ID,section_LABEL,chapter_ID,chapter_LABEL
A04.4,Other intestinal Escherichia coli infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.5,Campylobacter enteritis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.6,Enteritis due to Yersinia enterocolitica,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.7,Enterocolitis due to Clostridium difficile,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.8,Other specified bacterial intestinal infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.9,"Bacterial intestinal infection, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04,Other bacterial intestinal infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05.0,Foodborne staphylococcal intoxication,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05.1,Botulism,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05.3,Foodborne Vibrio parahaemolyticus intoxication,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05.4,Foodborne Bacillus cereus intoxication,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05.8,Other specified bacterial foodborne intoxications,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05.9,"Bacterial foodborne intoxication, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A05,"Other bacterial foodborne intoxications, not elsewhere classified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.0,Acute amoebic dysentery,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.1,Chronic intestinal amoebiasis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.2,Amoebic nondysenteric colitis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.3,Amoeboma of intestine,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.4,Amoebic liver abscess,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.5,Amoebic lung abscess,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.6,Amoebic brain abscess,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.7,Cutaneous amoebiasis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.8,Amoebic infection of other sites,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06.9,"Amoebiasis, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A06,Amoebiasis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A07.0,Balantidiasis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A07.1,Giardiasis [lambliasis],A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A07.2,Cryptosporidiosis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A07.3,Isosporiasis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A07.8,Other specified protozoal intestinal diseases,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A07.9,"Protozoal intestinal disease, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A07,Other protozoal intestinal diseases,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A08.0,Rotaviral enteritis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A08.1,Acute gastroenteropathy due to Norovirus,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A08.2,Adenoviral enteritis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A08.3,Other viral enteritis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A08.4,"Viral intestinal infection, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A08.5,Other specified intestinal infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A08,Viral and other specified intestinal infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A09.9,Gastroenteritis and colitis of unspecified origin,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A09,Other gastroenteritis and colitis of infectious and unspecified origin,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.1,"Tuberculosis of lung, confirmed by culture only",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.2,"Tuberculosis of lung, confirmed histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.3,"Tuberculosis of lung, confirmed by unspecified means",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A17.0,Tuberculous meningitis,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A17.1,Meningeal tuberculoma,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A17.8,Other tuberculosis of nervous system,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A17.9,"Tuberculosis of nervous system, unspecified",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A17,Tuberculosis of nervous system,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.0,Tuberculosis of bones and joints,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.1,Tuberculosis of genitourinary system,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.2,Tuberculous peripheral lymphadenopathy,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.4,Tuberculosis of skin and subcutaneous tissue,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.5,Tuberculosis of eye,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.6,Tuberculosis of ear,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.7,Tuberculosis of adrenal glands,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18.8,Tuberculosis of other specified organs,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A18,Tuberculosis of other organs,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A19.0,Acute miliary tuberculosis of a single specified site,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A19.1,Acute miliary tuberculosis of multiple sites,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A19.2,"Acute miliary tuberculosis, unspecified",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A19.8,Other miliary tuberculosis,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A19.9,"Miliary tuberculosis, unspecified",A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A19,Miliary tuberculosis,A15-A19,Tuberculosis,I,Certain infectious and parasitic diseases
A20.0,Bubonic plague,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A20.1,Cellulocutaneous plague,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A20.2,Pneumonic plague,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A20.3,Plague meningitis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A20.7,Septicaemic plague,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A20.8,Other forms of plague,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A20.9,"Plague, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A20,Plague,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21.0,Ulceroglandular tularaemia,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21.1,Oculoglandular tularaemia,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21.2,Pulmonary tularaemia,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21.3,Gastrointestinal tularaemia,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21.7,Generalized tularaemia,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21.8,Other forms of tularaemia,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21.9,"Tularaemia, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A21,Tularaemia,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A22.0,Cutaneous anthrax,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A22.1,Pulmonary anthrax,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A22.2,Gastrointestinal anthrax,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A22.7,Anthrax sepsis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A22.8,Other forms of anthrax,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A22.9,"Anthrax, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A22,Anthrax,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A23.0,Brucellosis due to Brucella melitensis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A23.1,Brucellosis due to Brucella abortus,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A23.2,Brucellosis due to Brucella suis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A23.3,Brucellosis due to Brucella canis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A23.8,Other brucellosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A23.9,"Brucellosis, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A23,Brucellosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A24.0,Glanders,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A24.1,Acute and fulminating melioidosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A24.2,Subacute and chronic melioidosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A24.3,Other melioidosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A24.4,"Melioidosis, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A24,Glanders and melioidosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A25.0,Spirillosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A25.1,Streptobacillosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A25.9,"Rat-bite fever, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A25,Rat-bite fevers,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A26.0,Cutaneous erysipeloid,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A26.7,Erysipelothrix sepsis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A26.8,Other forms of erysipeloid,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A26.9,"Erysipeloid, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A26,Erysipeloid,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A27.0,Leptospirosis icterohaemorrhagica,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A27.8,Other forms of leptospirosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A27.9,"Leptospirosis, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A27,Leptospirosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A28.0,Pasteurellosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A28.1,Cat-scratch disease,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A28.2,Extraintestinal yersiniosis,A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A28.9,"Zoonotic bacterial disease, unspecified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A28,"Other zoonotic bacterial diseases, not elsewhere classified",A20-A28,Certain zoonotic bacterial diseases,I,Certain infectious and parasitic diseases
A30.0,Indeterminate leprosy,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30.1,Tuberculoid leprosy,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30.2,Borderline tuberculoid leprosy,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30.3,Borderline leprosy,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30.4,Borderline lepromatous leprosy,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30.5,Lepromatous leprosy,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30.8,Other forms of leprosy,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30.9,"Leprosy, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A30,Leprosy [Hansen disease],A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A31.0,Pulmonary mycobacterial infection,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A31.1,Cutaneous mycobacterial infection,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A31.8,Other mycobacterial infections,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A31.9,"Mycobacterial infection, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A31,Infection due to other mycobacteria,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A32.0,Cutaneous listeriosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A32.1,Listerial meningitis and meningoencephalitis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A32.7,Listerial sepsis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A32.8,Other forms of listeriosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A32.9,"Listeriosis, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A32,Listeriosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A33,Tetanus neonatorum,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A34,Obstetrical tetanus,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A35,Other tetanus,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A36.0,Pharyngeal diphtheria,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A36.1,Nasopharyngeal diphtheria,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A36.2,Laryngeal diphtheria,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A36.3,Cutaneous diphtheria,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A36.8,Other diphtheria,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A36.9,"Diphtheria, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A36,Diphtheria,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A37.0,Whooping cough due to Bordetella pertussis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A37.1,Whooping cough due to Bordetella parapertussis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A37.8,Whooping cough due to other Bordetella species,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A37.9,"Whooping cough, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A37,Whooping cough,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A38,Scarlet fever,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.0,Meningococcal meningitis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.1,Waterhouse-Friderichsen syndrome,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.2,Acute meningococcaemia,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.3,Chronic meningococcaemia,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.4,"Meningococcaemia, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.5,Meningococcal heart disease,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.8,Other meningococcal infections,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39.9,"Meningococcal infection, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A39,Meningococcal infection,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A40.0,"Sepsis due to streptococcus, group A",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A40.1,"Sepsis due to streptococcus, group B",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A40.2,"Sepsis due to streptococcus, group D and enterococcus",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A40.3,Sepsis due to Streptococcus pneumoniae,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A40.8,Other streptococcal sepsis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A40.9,"Streptococcal sepsis, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A40,Streptococcal sepsis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.0,Sepsis due to Staphylococcus aureus,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.1,Sepsis due to other specified staphylococcus,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.2,Sepsis due to unspecified staphylococcus,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.3,Sepsis due to Haemophilus influenzae,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.4,Sepsis due to anaerobes,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.5,Sepsis due to other Gram-negative organisms,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.8,Other specified sepsis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41.9,"Sepsis, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A41,Other sepsis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A42.0,Pulmonary actinomycosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A42.1,Abdominal actinomycosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A42.2,Cervicofacial actinomycosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A42.7,Actinomycotic sepsis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A42.8,Other forms of actinomycosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A42.9,"Actinomycosis, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A42,Actinomycosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A43.0,Pulmonary nocardiosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A43.1,Cutaneous nocardiosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A43.8,Other forms of nocardiosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A43.9,"Nocardiosis, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A43,Nocardiosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A44.0,Systemic bartonellosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A44.1,Cutaneous and mucocutaneous bartonellosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A44.8,Other forms of bartonellosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A44.9,"Bartonellosis, unspecified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A44,Bartonellosis,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A46,Erysipelas,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A48.0,Gas gangrene,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A48.1,Legionnaires disease,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A48.3,Toxic shock syndrome,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A48.4,Brazilian purpuric fever,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A48.8,Other specified bacterial diseases,A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A48,"Other bacterial diseases, not elsewhere classified",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A49.0,"Staphylococcal infection, unspecified site",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A49.1,"Streptococcal and enterococcal infection, unspecified site",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A49.2,"Haemophilus influenzae infection, unspecified site",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
A49.3,"Mycoplasma infection, unspecified site",A30-A49,Other bacterial diseases,I,Certain infectious and parasitic diseases
